"","Incident ID","Incident Date","State","City Or County","Address","# Killed","# Injured","Operations"
"153",2068773,"July 19, 2021","District of Columbia","Washington","1600 block of Gales St NE",1,0,"N/A"
"154",2066479,"July 18, 2021","District of Columbia","Washington","6100 block of 4th St NW",1,0,"N/A"
"155",2064992,"July 16, 2021","District of Columbia","Washington","2900 block of MLK Ave SE",1,5,"N/A"
"156",2059143,"July 10, 2021","District of Columbia","Washington","5100 block of Fitch St SE",1,0,"N/A"
"157",2058398,"July 9, 2021","District of Columbia","Washington","3300 block of Erie St SE",1,0,"N/A"
"158",2058395,"July 9, 2021","District of Columbia","Washington","1400 block of 41st St SE",1,2,"N/A"
"159",2057862,"July 8, 2021","District of Columbia","Washington","1200 block of 13th St NW",1,1,"N/A"
"160",2053576,"July 5, 2021","District of Columbia","Washington","4700 block of Southern Ave SE",1,0,"N/A"
"161",2051884,"July 2, 2021","District of Columbia","Washington","1400 block of Smith Pl SE",1,0,"N/A"
"162",2051886,"July 2, 2021","District of Columbia","Washington","1300 block of Brentwood Rd",1,0,"N/A"
"163",2048843,"June 30, 2021","District of Columbia","Washington","6000 block of Eads St NE",1,0,"N/A"
"164",2048091,"June 29, 2021","District of Columbia","Washington","3800 block of Halley Terrace SE",1,0,"N/A"
"165",2048841,"June 29, 2021","District of Columbia","Washington","4000 block of Alabama Ave SE",1,0,"N/A"
"166",2048839,"June 29, 2021","District of Columbia","Washington","1400 block of R St NW",1,0,"N/A"
